내 띠,쥐,소,호랑이,토끼,용,뱀,말,양,원숭이,닭,개,돼지
쥐,80,100,80,60,100,80,40,60,100,60,80,80
소,100,80,80,80,60,100,60,40,80,100,60,80
호랑이,80,80,80,100,80,40,100,80,40,60,100,80
토끼,60,80,100,80,40,100,80,100,60,40,80,100
용,100,60,80,40,80,100,80,60,100,80,40,60
뱀,80,100,40,100,100,80,60,80,40,100,60,40
말,40,60,100,80,80,60,80,100,80,60,100,80
양,60,40,80,100,60,80,100,80,60,40,80,100
원숭이,100,80,40,60,100,40,80,60,80,100,60,40
닭,60,100,60,40,80,100,60,40,100,80,40,60
개,80,60,100,80,40,60,100,80,60,40,80,100
돼지,80,80,80,100,60,40,80,100,40,60,100,80
